Member State,Year,Fund,Total Paid,Advance,Interim,Absorption (%)
Hungary,2009,ESF,258756414.94,145163542.04,113592872.9,12.23
France,2012,ERDF,568791886.98,0,568791886.98,43.73
Latvia,2011,TOTAL,512029237.32,0,512029237.32,36.43
Croatia,2008,ESF,0,0,0,0
Malta,2009,TOTAL,35313224.61,33604922.04,1708302.57,9.71
Latvia,2009,CF,96497506.23,61591062.12,34906444.11,12.77
Italy,2014,TOTAL,3703399756.63,0,3703399756.63,63.38
Sweden,2015,ESF,35129157.36,0,35129157.36,95
Latvia,2011,ESF,123458546.82,0,123458546.82,60.04
Portugal,2015,ERDF,420436721.26,0,420436721.26,94.96
Latvia,2007,CF,38494413.82,38494413.82,0,2.5
Croatia,2011,ERDF,11273732.65,4244850,7028882.65,9.7
Slovakia,2009,ERDF,275622159.4,238491129.24,37131030.16,9.41
United Kingdom,2007,ESF,89498354.56,89498354.56,0,1.99
Poland,2013,CF,3436723132.61,0,3436723132.61,60.13
Bulgaria,2015,TOTAL,1253665798.14,0,1253665798.14,85.24
Belgium,2007,TOTAL,35619716.7,35619716.7,0,1.73
Slovenia,2008,CF,56462794.32,56462794.32,0,6.5
Latvia,2008,TOTAL,151311194.55,151311194.55,0,5.51
Slovakia,2012,TOTAL,1522428893.76,0,1522428893.76,41.05
Czech republic,2014,ESF,308700892.1,0,308700892.1,66.68
Austria,2013,ERDF,90110163.13,0,90110163.13,55.75
Hungary,2007,ERDF,252994876.64,252994876.64,0,2
Latvia,2007,ESF,11013074.34,11013074.34,0,1.89
Estonia,2012,ERDF,249731877.97,0,249731877.97,63.3
Germany,2008,TOTAL,822140922.58,764658488.7,57482433.88,5.23
Estonia,2011,TOTAL,239059763.81,0,239059763.81,41.99
Estonia,2010,ERDF,338953866.44,0,338953866.44,41.1
Malta,2011,ERDF,44371148.66,0,44371148.66,25.69
Cyprus,2007,TOTAL,13314722.26,13314722.26,0,2.17
Spain,2007,ERDF,461143843.02,461143843.02,0,2
Greece,2016,ESF,217228289.99,0,217228289.99,100
Poland,2015,CF,3309367602.09,0,3309367602.09,95
Denmark,2013,TOTAL,46669932.01,0,46669932.01,54.41
Malta,2013,CF,33558306.13,0,33558306.13,52.07
Czech republic,2013,ESF,1027907861.91,0,1027907861.91,58.27
Slovenia,2009,ESF,33471219.15,30227974.8,3243244.35,9.43
Cyprus,2007,CF,5330112.1,5330112.1,0,2.5
Greece,2014,TOTAL,3780334441.33,0,3780334441.33,88.28
Romania,2010,TOTAL,505729070.16,278414365.28,227314704.88,13.17
Finland,2007,TOTAL,31919320.88,31919320.88,0,2
Poland,2009,CF,1585578331.94,887054150.96,698524180.98,13.52
Netherlands,2011,ESF,92952519.34,0,92952519.34,27.28
Ireland,2015,ESF,47060263.97,0,47060263.97,88.95
Belgium,2009,ESF,148960333.21,26830439.86,122129893.35,18.9
Denmark,2008,ESF,7643658.57,7643658.57,0,5
Finland,2013,ERDF,211287537.17,0,211287537.17,73.89
Netherlands,2014,TOTAL,278671420.11,0,278671420.11,80.64
Greece,2012,ESF,577688731.78,0,577688731.78,39.84
Malta,2010,CF,32538383.73,0,32538383.73,21.95
Lithuania,2011,ERDF,404172083.52,0,404172083.52,49.06
Hungary,2008,TOTAL,832324392.03,821452302.67,10872089.36,5.56
Finland,2010,ERDF,110903237.21,0,110903237.21,28.06
Hungary,2008,CF,333087331.18,333087331.18,0,6.51
Italy,2015,ESF,804485689.37,0,804485689.37,89.33
Belgium,2014,TOTAL,279761816.97,0,279761816.97,82.48
Slovakia,2014,ERDF,137719068.82,0,137719068.82,59.43
